N,k,cbc_mean,cbc_std,gur_mean,gur_std,speedup_gurobi
1000,3,0.059166666666666666,0.006715901527965797,0.09016666666666666,0.01771138993228181,0.656
1000,5,0.0573,0.0008717797887081328,0.056633333333333334,0.0046306946923040946,1.012
1000,10,0.060033333333333334,0.007259706146486466,0.05236666666666667,0.002205296654269745,1.146
1000,20,0.06060000000000001,0.002343074902771997,0.055466666666666664,0.005437217425607822,1.093
5000,3,0.2844333333333333,0.008445314282685589,0.5070666666666667,0.046150225712701935,0.561
5000,5,0.28983333333333333,0.013092873379565452,0.5068666666666667,0.04476274492625906,0.572
5000,10,0.5214666666666666,0.006445411804790556,0.49756666666666666,0.043158351837545114,1.048
5000,20,0.5172,0.002066397831977175,0.4965333333333333,0.042974100727453717,1.042
10000,3,0.5175333333333333,0.009904712683027882,1.5338,0.009544108130150336,0.337
10000,5,0.5272,0.00026457513110642993,1.5532000000000001,0.09780495897448142,0.339
10000,10,0.5197666666666666,0.00887937685501257,1.5431000000000001,0.06558711763753601,0.337
10000,20,0.5069333333333333,0.0007571877794400558,1.5712333333333335,0.0820861945355815,0.323
20000,3,1.1270666666666667,0.005158811232574162,0.9021666666666667,0.013366500414593679,1.249
20000,5,1.1294666666666666,0.010249552835774558,0.8799,0.012893409169028976,1.284
20000,10,1.1184666666666667,0.009464847243000472,0.8507666666666668,0.008136543082497234,1.315
20000,20,1.1491666666666667,0.07346919989582938,0.9043666666666667,0.004488132499529517,1.271
50000,3,3.4281333333333333,0.08868541781676005,2.821,0.029457087432399203,1.215
50000,5,3.2914666666666665,0.003516153201061212,2.4202333333333335,0.028419066369839038,1.36
50000,10,3.350733333333333,0.027003950328300868,2.4600333333333335,0.0169827363323267,1.362
50000,20,3.7131333333333334,0.026358553323984606,2.4321333333333333,0.020756043296672216,1.527
